<<<<<<<<<<<<<<<<<<<<<<<<
Xf$Name                Xe$Offset   Xe$Name                Xe$DataType   Xe$Size
Prod_Line                     13   Recipe_Code                     10         9
Prod_Line                     22   Percentage                       2         8
Prod_Line                     30   Sub_Product                     10        11
Prod_Line                     41   Reserved                         0        53
Prod_Line                    239   NN_Product_Code                227         0
Prod_Line                    241   NN_Line_No                     227         0
Prod_Line                    243   NN_Recipe_Code                 227         0
Prod_Line                    245   NN_Percentage                  227         0
Prod_Line                    247   NN_Sub_Product                 227         0
Prod_Line                    249   NN_Reserved                    227         0
Prod_Schedule                  0   Order_No                         1         4
Prod_Schedule                  4   Schedule_Date                    1         4
Prod_Schedule                  8   Product_Code                    10        11
Prod_Schedule                 19   No_Of_Orders                    14         2
Prod_Schedule                 21   Product_Method                   1         2
Prod_Schedule                 23   Weight_Reqd                      2         8
Prod_Schedule                 31   Cases_Reqd                       1         4
Prod_Schedule                 35   Reserved                         0        60
Prod_Schedule                252   NN_Order_No                    227         0
Prod_Schedule                254   NN_Schedule_Date               227         0
Prod_Schedule                256   NN_Product_Code                227         0
Prod_Schedule                258   NN_No_Of_Orders                227         0
Prod_Schedule                260   NN_Product_Method              227         0
Prod_Schedule                262   NN_Weight_Reqd                 227         0
Prod_Schedule                264   NN_Cases_Reqd                  227         0
Prod_Schedule                266   NN_Reserved                    227         0
Recipe_Header                  0   FileRef                          1         4
Recipe_Header                  4   Recipe_Code                     10         9
Recipe_Header                 13   Description                     10        31
Recipe_Header                 44   Mix_Method                      14         1
Recipe_Header                 45   Mix_Weight                       2         8
Recipe_Header                 53   Reserved1                        2         8
Recipe_Header                 61   Reserved2                        2         8
Recipe_Header                 69   Updates                          1         4
Recipe_Header                 73   Batch_Weight                     2         8
Recipe_Header                 81   PostMix_Loss                     2         8
Recipe_Header                 89   Reorder_Level                    1         4
Recipe_Header                 93   Issue                           10         9
Recipe_Header                102   BarCode                         10        15
Recipe_Header                117   Fixed_Sequence                  16         1
Recipe_Header                118   Reserved3                       14         1
Recipe_Header                119   Work_Group                       0         3
Recipe_Header                122   Job_Number                       1         2
Recipe_Header                124   Reserved                         0        14
Recipe_Header                153   NN_FileRef                     227         0
Recipe_Header                155   NN_Recipe_Code                 227         0
Recipe_Header                157   NN_Description                 227         0
Recipe_Header                159   NN_Mix_Method                  227         0
Recipe_Header                161   NN_Mix_Weight                  227         0
Recipe_Header                163   NN_Reserved1                   227         0
Recipe_Header                165   NN_Reserved2                   227         0
Recipe_Header                167   NN_Updates                     227         0
Recipe_Header                169   NN_Batch_Weight                227         0
Recipe_Header                171   NN_PostMix_Loss                227         0
Recipe_Header                173   NN_Reorder_Level               227         0
Recipe_Header                175   NN_Issue                       227         0
Recipe_Header                177   NN_BarCode                     227         0
Recipe_Header                541   NN_Reserved3                   227         0
Recipe_Header                543   NN_Work_Group                  227         0
Recipe_Header                545   NN_Job_Number                  227         0
Recipe_Header                547   NN_Reserved                    227         0
Recipe_Line                    0   FileRef                          1         4
Recipe_Line                    4   Recipe_Code                     10         9
Recipe_Line                   13   Line_No                          1         4
Recipe_Line                   17   HeaderFileRef                    1         4
Recipe_Line                   21   Ingredient                      10         9
Recipe_Line                   30   Key_Line                        16         1
Recipe_Line                   31   Final_Percent                    2         8
Recipe_Line                   39   Container_Wt                     2         8
Recipe_Line                   47   Mixing_Yield                     2         8
Recipe_Line                   55   Reserved1                        2         8
Recipe_Line                   63   Tol_NegPercent                   2         8
Recipe_Line                   71   Tol_PosPercent                   2         8
Recipe_Line                   79   Reserved                         0        32
Recipe_Line                  184   NN_FileRef                     227         0
Recipe_Line                  186   NN_Recipe_Code                 227         0
Recipe_Line                  188   NN_Line_No                     227         0
Recipe_Line                  190   NN_HeaderFileRef               227         0
Recipe_Line                  192   NN_Ingredient                  227         0
Recipe_Line                  195   NN_Final_Percent               227         0
Recipe_Line                  197   NN_Container_Wt                227         0
Recipe_Line                  199   NN_Mixing_Yield                227         0
Recipe_Line                  201   NN_Reserved1                   227         0
Recipe_Line                  203   NN_Tol_NegPercent              227         0
Recipe_Line                  205   NN_Tol_PosPercent              227         0
Recipe_Line                  207   NN_Reserved                    227         0
REGISTRY                       0   TagName                          0       191
REGISTRY                     192   Value                            0       255
REGISTRY                     444   NN_TagName                     227         0
REGISTRY                     447   FolderName                       0        64
REGISTRY                     447   NN_FolderName                  227         0
SOURCE_CODES                   0   ID                              15         4
SOURCE_CODES                   4   Code                            11        61
SOURCE_CODES                  65   Type                             0         8
SOURCE_CODES                  73   Reserved                         0        20
StockTable                     0   Product                         10         8
StockTable                     8   InStock                          1         4
StockTable                    12   Weight                           2         8
StockTable                    20   Initial                          1         4
StockTable                    24   InitWt                           2         8
StockTable                    32   ReservedSpace                    0        40
Trans_Warnings                 0   MC_ID                           14         2
Trans_Warnings                 2   Serial_No                        1         4
Trans_Warnings                 6   Reserved1                       14         1
Trans_Warnings                 7   Warning                          0       160
Trans_Warnings               167   SrcConcessionNo                  1         4
Trans_Warnings               171   Reserved                         0        16
Transactions                   0   Reserved1                       14         1
Transactions                   1   Ingredient                       0         8
Transactions                   9   Order_No                         1         4
Transactions                  13   Reserved2                       14         1
Transactions                  14   Recipe_No                        0         8
Transactions                  22   MC_ID                           14         2
Transactions                  24   Serial_No                        1         4
Transactions                  28   Reserved3                       14         1
Transactions                  29   Trans_Time                       0         5
Transactions                  34   Trans_Date                       1         4
Transactions                  38   Order_Line_No                    1         4
Transactions                  42   Reserved4                        0         1
Transactions                  43   Weight_In_Mix                    2         8
Transactions                  51   Reserved5                       14         1
Transactions                  52   Batch_No                         0         6
Transactions                  58   Reserved6                       14         1
Transactions                  59   Lot_No                           0        14
Transactions                  73   Container_No                     1         2
Transactions                  75   Mix_No                          14         2
Transactions                  77   Status                          14         2
Transactions                  79   Order_No_Suffix                 14         1
Transactions                  80   TempChecked                     14         1
Transactions                  81   User_ID                          0         8
Transactions                  89   Calc_Post_Mix_Wt                 2         8
Transactions                  97   Weight_on_Scale                  2         8
Transactions                 105   Source_code_id                   1         4
Transactions                 109   Temperature                      2         8
UserTable                      0   UserName                        10         9
UserTable                      9   FullName                        10        31
UserTable                     40   Pass                            10         9
UserTable                     49   AccessLevel                      1         4
UserTable                     53   ReservedSpace                    0        27
X$Attrib                       0   Xa$Id                           14         2
X$Attrib                       2   Xa$Type                          0         1
X$Attrib                       3   Xa$ASize                        14         2
X$Attrib                       5   Xa$Attrs                        12      2048
X$Field                        0   Xe$Id                           14         2
X$Field                        2   Xe$File                         14         2
X$Field                        4   Xe$Name                          0        20
X$Field                       24   Xe$DataType                     14         1
X$Field                       25   Xe$Offset                       14         2
X$Field                       27   Xe$Size                         14         2
X$Field                       29   Xe$Dec                          14         1
X$Field                       30   Xe$Flags                        14         2
X$File                         0   Xf$Id                           14         2
X$File                         2   Xf$Name                          0        20
X$File                        22   Xf$Loc                           0        64
X$File                        86   Xf$Flags                        14         1
X$File                        87   Xf$Reserved                      0        10
X$Index                        0   Xi$File                         14         2
X$Index                        2   Xi$Field                        14         2
X$Index                        4   Xi$Number                       14         2
X$Index                        6   Xi$Part                         14         2
X$Index                        8   Xi$Flags                        14         2
X$Occurs                       0   Xo$FileId                       14         2
X$Occurs                       2   Xo$ParentId                     14         2
X$Occurs                       4   Xo$Length                       14         2
X$Occurs                       6   Xo$Offset                       14         2
X$Occurs                       8   Xo$Count                        14         2
X$Occurs                      10   Xo$MappingIndex                 14         2
X$Occurs                      12   Xo$Flags                        14         2
X$Proc                         0   Xp$Name                          0        30
X$Proc                        30   Xp$Ver                          14         1
X$Proc                        31   Xp$Id                           14         2
X$Proc                        33   Xp$Flags                        14         1
X$Proc                        34   Xp$Misc                         13       990
X$Relate                       0   Xr$PId                          14         2
X$Relate                       2   Xr$Index                        14         2
X$Relate                       4   Xr$FId                          14         2
X$Relate                       6   Xr$FIndex                       14         2
X$Relate                       8   Xr$Name                          0        20
X$Relate                      28   Xr$UpdateRule                   14         1
X$Relate                      29   Xr$DeleteRule                   14         1
X$Relate                      30   Xr$Reserved                      0        30
X$Rights                       0   Xr$User                         14         2
X$Rights                       2   Xr$Table                        14         2
X$Rights                       4   Xr$Column                       14         2
X$Rights                       6   Xr$Rights                       14         1
X$Trigger                      0   Xt$Name                          0        30
X$Trigger                     30   Xt$Version                      14         1
X$Trigger                     31   Xt$File                         14         2
X$Trigger                     33   Xt$Event                        14         1
X$Trigger                     34   Xt$ActionTime                   14         1
X$Trigger                     35   Xt$ForEach                      14         1
